ADDRESS,POSTCODE,CURRENT_ENERGY_RATING,LODGEMENT_DATE,PROPERTY_TYPE,TOTAL_FLOOR_AREA,LOCAL_AUTHORITY_LABEL,full_address,LAT,LON
"20, Catforth Avenue",FY4 4SF,E,2016-06-09,Bungalow,77.0,Blackpool,"20, Catforth Avenue, FY4 4SF, Blackpool, UK",53.80089049999999,-3.0066331
"15, Beattock Place",FY2 0EH,E,2016-11-01,Flat,48.0,Blackpool,"15, Beattock Place, FY2 0EH, Blackpool, UK",53.8567256,-3.025736
"Flat 2, 89 Warbreck Drive",FY2 9RZ,E,2019-08-05,Maisonette,54.0,Blackpool,"Flat 2, 89 Warbreck Drive, FY2 9RZ, Blackpool, UK",53.8374375,-3.0502635
"22, Stoke Avenue",FY1 6QB,E,2016-06-07,House,133.0,Blackpool,"22, Stoke Avenue, FY1 6QB, Blackpool, UK",53.803731,-3.0343927
"149, Kingscote Drive",FY3 8EE,E,2016-12-01,House,94.0,Blackpool,"149, Kingscote Drive, FY3 8EE, Blackpool, UK",53.8253943,-3.0291812
"Flat 2, 8 Charles Street",FY1 3HD,E,2019-03-06,Maisonette,38.0,Blackpool,"Flat 2, 8 Charles Street, FY1 3HD, Blackpool, UK",53.8197634,-3.0475657
"191, School Road",FY4 5EL,E,2016-12-05,House,116.0,Blackpool,"191, School Road, FY4 5EL, Blackpool, UK",53.7800899,-3.0081006
"3 Britannia Court, Shaw Road",FY1 6HD,E,2015-11-02,Flat,63.0,Blackpool,"3 Britannia Court, Shaw Road, FY1 6HD, Blackpool, UK",53.8000329,-3.0550923
"7, Rangeway Avenue",FY4 2DJ,F,2015-12-11,House,98.0,Blackpool,"7, Rangeway Avenue, FY4 2DJ, Blackpool, UK",53.7919491,-3.0442181
"8, Sandhills Avenue",FY4 1QQ,F,2020-07-08,House,94.0,Blackpool,"8, Sandhills Avenue, FY4 1QQ, Blackpool, UK",53.7837494,-3.0516396
91 Red Bank Road,FY2 9HZ,E,2018-03-03,Flat,137.0,Blackpool,"91 Red Bank Road, FY2 9HZ, Blackpool, UK",53.8500754,-3.0495357
"Flat 10, 36-38 Westmorland Avenue",FY1 5PG,E,2015-10-02,Flat,35.0,Blackpool,"Flat 10, 36-38 Westmorland Avenue, FY1 5PG, Blackpool, UK",53.80907879999999,-3.0429856
"Flat 3, 39 Cheltenham Road",FY1 2PS,E,2015-09-03,Flat,23.0,Blackpool,"Flat 3, 39 Cheltenham Road, FY1 2PS, Blackpool, UK",53.82726270000001,-3.0496275
18 Yew Tree Road,FY3 7TZ,E,2021-09-09,Flat,42.0,Blackpool,"18 Yew Tree Road, FY3 7TZ, Blackpool, UK",53.8357058,-3.013308700000001
"29, Leeds Road",FY1 4HQ,E,2016-01-02,House,129.0,Blackpool,"29, Leeds Road, FY1 4HQ, Blackpool, UK",53.8167537,-3.0398284
"60, Abingdon Street",FY1 1NH,G,2019-05-07,Maisonette,116.0,Blackpool,"60, Abingdon Street, FY1 1NH, Blackpool, UK",53.819903,-3.0529176
"6, Sunfield Close",FY4 5DD,E,2015-12-10,Bungalow,87.0,Blackpool,"6, Sunfield Close, FY4 5DD, Blackpool, UK",53.79257399999999,-3.0176023
"63, Everest Drive",FY2 9DJ,E,2016-01-02,Bungalow,103.0,Blackpool,"63, Everest Drive, FY2 9DJ, Blackpool, UK",53.85565940000001,-3.0445201
"68, Newhouse Road",FY4 4JJ,G,2017-10-01,House,140.0,Blackpool,"68, Newhouse Road, FY4 4JJ, Blackpool, UK",53.80297479999999,-3.0238882
"106, Beaufort Avenue",FY2 9AG,E,2016-04-07,House,92.0,Blackpool,"106, Beaufort Avenue, FY2 9AG, Blackpool, UK",53.854595,-3.0470072
"3 Clarence Court, Rawcliffe Street",FY4 1DJ,E,2015-11-11,Flat,56.0,Blackpool,"3 Clarence Court, Rawcliffe Street, FY4 1DJ, Blackpool, UK",53.7979041,-3.0520095
"Flat 3, 1, Clevedon Road",FY1 2NX,E,2018-08-12,Flat,56.0,Blackpool,"Flat 3, 1, Clevedon Road, FY1 2NX, Blackpool, UK",53.8281368,-3.0519565
"2, Wilford Street",FY3 7BX,E,2016-07-04,House,76.0,Blackpool,"2, Wilford Street, FY3 7BX, Blackpool, UK",53.8287805,-3.0292135
"2, Chelsea Avenue",FY2 0SU,E,2015-09-05,House,64.0,Blackpool,"2, Chelsea Avenue, FY2 0SU, Blackpool, UK",53.83651039999999,-3.032548
"Flat 6, 27 Reads Avenue",FY1 4DD,E,2015-10-05,Flat,51.0,Blackpool,"Flat 6, 27 Reads Avenue, FY1 4DD, Blackpool, UK",53.8131631,-3.049037
"Flat 16, 86, Park Road",FY1 4ES,F,2015-10-02,Flat,30.0,Blackpool,"Flat 16, 86, Park Road, FY1 4ES, Blackpool, UK",53.8134334,-3.0434523
"29, Pierston Avenue",FY2 9UT,E,2015-11-09,House,98.0,Blackpool,"29, Pierston Avenue, FY2 9UT, Blackpool, UK",53.8370251,-3.0443073
"Flat 21, 24-26 Rawcliffe Street",FY4 1BY,E,2019-08-04,Flat,30.0,Blackpool,"Flat 21, 24-26 Rawcliffe Street, FY4 1BY, Blackpool, UK",53.7977362,-3.0530885
"Flat 3, 6 St. Bedes Avenue",FY4 1AQ,E,2019-05-04,Flat,55.0,Blackpool,"Flat 3, 6 St. Bedes Avenue, FY4 1AQ, Blackpool, UK",53.799255,-3.0535754
"Flat 7, 9 Albert Road",FY1 4TA,E,2018-09-04,Flat,30.0,Blackpool,"Flat 7, 9 Albert Road, FY1 4TA, Blackpool, UK",53.8145843,-3.0533361
85 SCORTON AVENUE,FY3 7HD,E,2021-01-07,Flat,48.0,Blackpool,"85 SCORTON AVENUE, FY3 7HD, Blackpool, UK",53.8267619,-3.0243224
"105, Adelaide Street",FY1 4LU,E,2016-01-04,House,179.0,Blackpool,"105, Adelaide Street, FY1 4LU, Blackpool, UK",53.8172935,-3.0465389
"149, Bloomfield Road",FY1 6JN,E,2016-11-04,House,129.0,Blackpool,"149, Bloomfield Road, FY1 6JN, Blackpool, UK",53.80422189999999,-3.0406814
"30, Antrim Road",FY2 9UR,E,2016-08-12,House,118.0,Blackpool,"30, Antrim Road, FY2 9UR, Blackpool, UK",53.8370967,-3.0428012
"Flat 4, 188, Devonshire Road",FY3 7AA,E,2015-09-03,Flat,40.0,Blackpool,"Flat 4, 188, Devonshire Road, FY3 7AA, Blackpool, UK",53.8261682,-3.0401481
"Flat 2, 9 Regent Road",FY1 4NB,F,2016-03-02,Flat,43.0,Blackpool,"Flat 2, 9 Regent Road, FY1 4NB, Blackpool, UK",53.8164775,-3.0463497
4 Preston New Road,FY4 4HQ,F,2016-08-06,Maisonette,132.0,Blackpool,"4 Preston New Road, FY4 4HQ, Blackpool, UK",53.8039205,-3.0247401
"150, Preston Old Road",FY3 9QP,E,2017-12-10,House,94.0,Blackpool,"150, Preston Old Road, FY3 9QP, Blackpool, UK",53.8065465,-3.0207556
"Flat 1, 64 Station Road",FY4 1EU,E,2019-09-01,Flat,26.0,Blackpool,"Flat 1, 64 Station Road, FY4 1EU, Blackpool, UK",53.7960698,-3.0514942
83 SCORTON AVENUE,FY3 7HD,F,2021-01-07,Flat,48.0,Blackpool,"83 SCORTON AVENUE, FY3 7HD, Blackpool, UK",53.8265565,-3.0233024
"76, St. Annes Road",FY4 2AS,E,2015-09-02,House,104.0,Blackpool,"76, St. Annes Road, FY4 2AS, Blackpool, UK",53.7968955,-3.0416615
"11, Crummock Place",FY4 4TP,E,2016-02-04,House,103.0,Blackpool,"11, Crummock Place, FY4 4TP, Blackpool, UK",53.7992644,-2.9975716
"102, Holmfield Road",FY2 9RF,E,2016-07-03,House,136.0,Blackpool,"102, Holmfield Road, FY2 9RF, Blackpool, UK",53.8391343,-3.0524379
"15, Burgate",FY4 2QH,E,2019-10-02,House,92.0,Blackpool,"15, Burgate, FY4 2QH, Blackpool, UK",53.7806595,-3.0394594
"33, Repton Avenue",FY1 2RZ,E,2019-02-09,House,81.0,Blackpool,"33, Repton Avenue, FY1 2RZ, Blackpool, UK",53.8334687,-3.0435445
"22, Thames Road",FY4 1ED,E,2019-01-04,House,84.0,Blackpool,"22, Thames Road, FY4 1ED, Blackpool, UK",53.79305720000001,-3.0506774
22 Handsworth Road,FY1 2RQ,E,2021-03-09,House,79.0,Blackpool,"22 Handsworth Road, FY1 2RQ, Blackpool, UK",53.8279214,-3.0470805
"4, Crofters Mews",FY1 2EE,E,2018-11-05,House,60.0,Blackpool,"4, Crofters Mews, FY1 2EE, Blackpool, UK",53.82535799999999,-3.0471248
"56, Berwick Road",FY4 2PS,E,2016-08-08,House,90.0,Blackpool,"56, Berwick Road, FY4 2PS, Blackpool, UK",53.7804272,-3.0403228
"16, Sandhurst Avenue",FY2 9AU,E,2016-10-05,House,266.0,Blackpool,"16, Sandhurst Avenue, FY2 9AU, Blackpool, UK",53.85286139999999,-3.0494226
"Flat 1, 9 Albert Road",FY1 4TA,E,2018-09-04,Flat,30.0,Blackpool,"Flat 1, 9 Albert Road, FY1 4TA, Blackpool, UK",53.8145843,-3.0533361
"Flat 2, 435 Waterloo Road",FY4 4BW,E,2018-10-07,Flat,28.0,Blackpool,"Flat 2, 435 Waterloo Road, FY4 4BW, Blackpool, UK",53.8019004,-3.0306244
"77, Ashton Road",FY1 4AG,E,2015-10-12,House,92.0,Blackpool,"77, Ashton Road, FY1 4AG, Blackpool, UK",53.8102572,-3.043183
"102, Ansdell Road",FY1 6PZ,E,2016-09-02,House,77.0,Blackpool,"102, Ansdell Road, FY1 6PZ, Blackpool, UK",53.8024897,-3.0369058
"Flat 2, 4 Maudland Road",FY1 6JQ,E,2019-09-08,Flat,43.0,Blackpool,"Flat 2, 4 Maudland Road, FY1 6JQ, Blackpool, UK",53.8025506,-3.0463797
333a Whitegate Drive,FY3 9JR,G,2021-01-09,Flat,70.0,Blackpool,"333a Whitegate Drive, FY3 9JR, Blackpool, UK",53.8056537,-3.0288188
"3, Mexford Avenue",FY2 0UE,E,2016-11-08,House,76.0,Blackpool,"3, Mexford Avenue, FY2 0UE, Blackpool, UK",53.8332832,-3.036914
"23a, Knowle Avenue",FY2 9RX,E,2017-01-04,Flat,91.0,Blackpool,"23a, Knowle Avenue, FY2 9RX, Blackpool, UK",53.83775199999999,-3.0509234
"31, Endsleigh Gardens",FY4 3PA,F,2017-11-08,House,67.0,Blackpool,"31, Endsleigh Gardens, FY4 3PA, Blackpool, UK",53.7863832,-3.0345353
"1, Thirsk Grove",FY1 5NH,E,2016-11-02,House,90.0,Blackpool,"1, Thirsk Grove, FY1 5NH, Blackpool, UK",53.8057446,-3.0380218
"17, North Avenue",FY3 7BA,G,2019-06-11,House,88.0,Blackpool,"17, North Avenue, FY3 7BA, Blackpool, UK",53.827737,-3.035198
"291, Talbot Road",FY3 7BB,F,2016-09-04,House,189.0,Blackpool,"291, Talbot Road, FY3 7BB, Blackpool, UK",53.8271895,-3.0341831
"Flat 2, 185, Central Drive",FY1 5ED,F,2015-09-05,Flat,44.0,Blackpool,"Flat 2, 185, Central Drive, FY1 5ED, Blackpool, UK",53.809652,-3.0464964
"65, Kent Road",FY1 5HH,E,2016-08-04,House,127.0,Blackpool,"65, Kent Road, FY1 5HH, Blackpool, UK",53.80990980000001,-3.0488802
"Flat 8, 21, Raikes Parade",FY1 4EY,E,2020-04-05,Flat,52.0,Blackpool,"Flat 8, 21, Raikes Parade, FY1 4EY, Blackpool, UK",53.8166399,-3.0437443
"Flat 4, 4a Nelson Road",FY1 6AS,F,2020-07-08,Flat,24.0,Blackpool,"Flat 4, 4a Nelson Road, FY1 6AS, Blackpool, UK",53.8049613,-3.0529952
6 Washington Court,FY2 0XJ,E,2021-08-09,Flat,47.0,Blackpool,"6 Washington Court, FY2 0XJ, Blackpool, UK",53.8422729,-3.0286202
"8, Platt Street",FY1 3BH,E,2020-10-07,House,54.0,Blackpool,"8, Platt Street, FY1 3BH, Blackpool, UK",53.8219389,-3.0461955
"Flat 2, 108 Central Drive",FY1 5QF,E,2016-10-03,Flat,44.0,Blackpool,"Flat 2, 108 Central Drive, FY1 5QF, Blackpool, UK",53.8121873,-3.049531
107 SCORTON AVENUE,FY3 7HD,F,2021-07-07,Flat,48.0,Blackpool,"107 SCORTON AVENUE, FY3 7HD, Blackpool, UK",53.826754,-3.0242297
"Flat 2, 43 Highfield Road",FY4 2JD,F,2018-05-02,Flat,35.0,Blackpool,"Flat 2, 43 Highfield Road, FY4 2JD, Blackpool, UK",53.7854143,-3.0456445
"16, Westfield Road",FY1 6NY,E,2019-08-03,House,97.0,Blackpool,"16, Westfield Road, FY1 6NY, Blackpool, UK",53.8009285,-3.0395618
18 Washington Court,FY2 0XJ,F,2021-09-09,Flat,48.0,Blackpool,"18 Washington Court, FY2 0XJ, Blackpool, UK",53.8423615,-3.0285535
8 Yew Tree Road,FY3 7TZ,E,2021-09-09,Flat,42.0,Blackpool,"8 Yew Tree Road, FY3 7TZ, Blackpool, UK",53.83601849999999,-3.0131462
"3, Hazel Grove",FY3 9AX,E,2016-09-06,House,128.0,Blackpool,"3, Hazel Grove, FY3 9AX, Blackpool, UK",53.816816,-3.0330567
"21, Bedford Road",FY1 2QS,E,2016-08-11,House,82.0,Blackpool,"21, Bedford Road, FY1 2QS, Blackpool, UK",53.8295769,-3.0447594
"Flat 6, 82, Park Road",FY1 4EP,E,2018-05-02,Flat,39.0,Blackpool,"Flat 6, 82, Park Road, FY1 4EP, Blackpool, UK",53.8138173,-3.0438305
"24, Daggers Hall Lane",FY4 4AY,E,2017-11-10,House,65.0,Blackpool,"24, Daggers Hall Lane, FY4 4AY, Blackpool, UK",53.7970274,-3.0275436
"Flat 3 Music Hall Tavern, Church Street",FY1 1HZ,E,2016-09-02,Maisonette,114.0,Blackpool,"Flat 3 Music Hall Tavern, Church Street, FY1 1HZ, Blackpool, UK",53.8177874,-3.0496976
"Flat C, 29 Cheltenham Road",FY1 2PS,E,2020-11-02,Flat,30.0,Blackpool,"Flat C, 29 Cheltenham Road, FY1 2PS, Blackpool, UK",53.8272079,-3.0500922
"25, Yorkshire Street",FY1 5BG,E,2019-11-09,House,130.0,Blackpool,"25, Yorkshire Street, FY1 5BG, Blackpool, UK",53.80971479999999,-3.0536335
"Ground Floor Flat, 15 Moore Street",FY4 1DA,E,2019-05-03,Flat,33.0,Blackpool,"Ground Floor Flat, 15 Moore Street, FY4 1DA, Blackpool, UK",53.7979462,-3.0523707
"2, Mayfield Avenue",FY4 2NT,F,2016-12-06,House,127.0,Blackpool,"2, Mayfield Avenue, FY4 2NT, Blackpool, UK",53.7851672,-3.0457869
"Ground Floor Flat, 3 Bosworth Place",FY4 1SH,E,2021-11-08,Flat,71.0,Blackpool,"Ground Floor Flat, 3 Bosworth Place, FY4 1SH, Blackpool, UK",53.7783736,-3.0540365
"203, Dickson Road",FY1 2HQ,G,2016-11-05,House,318.0,Blackpool,"203, Dickson Road, FY1 2HQ, Blackpool, UK",53.8283911,-3.0534189
"17, Barmouth Avenue",FY3 9SL,E,2015-11-08,House,92.0,Blackpool,"17, Barmouth Avenue, FY3 9SL, Blackpool, UK",53.8070657,-3.0169987
"FLAT 5, 139 READS AVENUE",FY1 4JH,E,2021-08-08,Flat,58.0,Blackpool,"FLAT 5, 139 READS AVENUE, FY1 4JH, Blackpool, UK",53.8148523,-3.0412367
"11, Bowfell Close",FY4 4SQ,E,2016-02-02,House,100.0,Blackpool,"11, Bowfell Close, FY4 4SQ, Blackpool, UK",53.80063680000001,-2.995645
"349, Waterloo Road",FY4 3AG,E,2020-11-09,House,149.0,Blackpool,"349, Waterloo Road, FY4 3AG, Blackpool, UK",53.800016,-3.0346395
"47, Westmorland Avenue",FY1 5PG,E,2020-06-07,House,109.0,Blackpool,"47, Westmorland Avenue, FY1 5PG, Blackpool, UK",53.80878569999999,-3.042775
"1, Bedford Road",FY1 2QS,E,2016-02-06,House,94.0,Blackpool,"1, Bedford Road, FY1 2QS, Blackpool, UK",53.8301481,-3.0433525
"40, Mather Street",FY3 8RH,E,2016-03-06,House,95.0,Blackpool,"40, Mather Street, FY3 8RH, Blackpool, UK",53.8248904,-3.0336806
"Flat 8, 63 Reads Avenue",FY1 4DG,E,2019-08-05,Flat,29.0,Blackpool,"Flat 8, 63 Reads Avenue, FY1 4DG, Blackpool, UK",53.8136568,-3.047020400000001
"271, Highfield Road",FY4 3NU,F,2018-03-05,House,56.0,Blackpool,"271, Highfield Road, FY4 3NU, Blackpool, UK",53.7879817,-3.0320557
"13, Salthouse Avenue",FY1 5EN,E,2016-05-04,House,144.0,Blackpool,"13, Salthouse Avenue, FY1 5EN, Blackpool, UK",53.8089794,-3.0467953
"1a Britannia Court, Shaw Road",FY1 6HD,E,2015-11-02,Flat,60.0,Blackpool,"1a Britannia Court, Shaw Road, FY1 6HD, Blackpool, UK",53.8000329,-3.0550923
"23, Kendal Avenue",FY3 7LG,E,2018-04-06,Bungalow,87.0,Blackpool,"23, Kendal Avenue, FY3 7LG, Blackpool, UK",53.8362337,-3.0198497
"Flat 2, 225 Lytham Road",FY1 6ET,E,2016-07-01,Flat,60.0,Blackpool,"Flat 2, 225 Lytham Road, FY1 6ET, Blackpool, UK",53.8003876,-3.0512338
81 SCORTON AVENUE,FY3 7HD,E,2021-01-07,Flat,48.0,Blackpool,"81 SCORTON AVENUE, FY3 7HD, Blackpool, UK",53.82659200000001,-3.023344
"31, George Street",FY1 3BZ,E,2019-09-08,Maisonette,42.0,Blackpool,"31, George Street, FY1 3BZ, Blackpool, UK",53.82025489999999,-3.0471237
"43, Ramsey Avenue",FY3 7AG,E,2016-07-03,House,92.0,Blackpool,"43, Ramsey Avenue, FY3 7AG, Blackpool, UK",53.8281581,-3.0362646
"Flat G Talbot Lodge, 376, Talbot Road",FY3 7AT,E,2019-05-11,Flat,46.0,Blackpool,"Flat G Talbot Lodge, 376, Talbot Road, FY3 7AT, Blackpool, UK",53.8256733,-3.0390528
"24 CLEVEDON ROAD, BLACKPOOL",FY1 2NX,E,2021-05-08,House,149.0,Blackpool,"24 CLEVEDON ROAD, BLACKPOOL, FY1 2NX, Blackpool, UK",53.8287297,-3.0509214
"Flat 3, 70 Warley Road",FY1 2LN,E,2019-08-03,Flat,33.0,Blackpool,"Flat 3, 70 Warley Road, FY1 2LN, Blackpool, UK",53.8308759,-3.0503638
"34, St. Martins Road",FY4 2DY,E,2017-10-05,House,92.0,Blackpool,"34, St. Martins Road, FY4 2DY, Blackpool, UK",53.7871807,-3.0447205
"FLAT 1, 54 BANKS STREET",FY1 2DT,E,2021-12-07,Flat,43.0,Blackpool,"FLAT 1, 54 BANKS STREET, FY1 2DT, Blackpool, UK",53.82326759999999,-3.0504033
"60, Ingleway Avenue",FY3 8JJ,E,2016-07-02,House,86.0,Blackpool,"60, Ingleway Avenue, FY3 8JJ, Blackpool, UK",53.8216507,-3.0260096
"119, George Street",FY1 3SF,E,2016-10-06,House,94.0,Blackpool,"119, George Street, FY1 3SF, Blackpool, UK",53.82237569999999,-3.0421124
"Flat 4, Second Floor, 41 Dickson Road",FY1 2AT,F,2016-09-03,Flat,34.0,Blackpool,"Flat 4, Second Floor, 41 Dickson Road, FY1 2AT, Blackpool, UK",53.8220883,-3.0523673
"143a, Central Drive",FY1 5EE,E,2019-05-06,Flat,109.0,Blackpool,"143a, Central Drive, FY1 5EE, Blackpool, UK",53.8104175,-3.0477185
34 WASHINGTON COURT,FY2 0XJ,E,2021-05-08,Flat,47.0,Blackpool,"34 WASHINGTON COURT, FY2 0XJ, Blackpool, UK",53.84238879999999,-3.0286404
"Flat 18, 86, Park Road",FY1 4ES,F,2015-10-02,Flat,40.0,Blackpool,"Flat 18, 86, Park Road, FY1 4ES, Blackpool, UK",53.8134334,-3.0434523
93 SCORTON AVENUE,FY3 7HD,E,2021-07-07,Flat,48.0,Blackpool,"93 SCORTON AVENUE, FY3 7HD, Blackpool, UK",53.82654609999999,-3.0228067
"55, Sharow Grove",FY1 5NE,F,2016-07-09,House,76.0,Blackpool,"55, Sharow Grove, FY1 5NE, Blackpool, UK",53.80726259999999,-3.0370172
"91, Central Drive",FY1 5EE,F,2016-07-03,Flat,53.0,Blackpool,"91, Central Drive, FY1 5EE, Blackpool, UK",53.8110827,-3.0487154
89 SCORTON AVENUE,FY3 7HD,E,2021-01-07,Flat,48.0,Blackpool,"89 SCORTON AVENUE, FY3 7HD, Blackpool, UK",53.82650280000001,-3.0231487
"76, Westmorland Avenue",FY1 5PG,F,2016-04-04,House,114.0,Blackpool,"76, Westmorland Avenue, FY1 5PG, Blackpool, UK",53.809504,-3.0423686
"376, Garstang Road West",FY3 7JH,E,2019-07-05,House,86.0,Blackpool,"376, Garstang Road West, FY3 7JH, Blackpool, UK",53.83742059999999,-3.0111252
"Flat 1, 102 St. Heliers Road",FY1 6JD,E,2019-04-06,Flat,37.0,Blackpool,"Flat 1, 102 St. Heliers Road, FY1 6JD, Blackpool, UK",53.8006043,-3.0463843
"Flat 4, 3, Dickson Road",FY1 2AX,E,2019-01-05,Flat,27.0,Blackpool,"Flat 4, 3, Dickson Road, FY1 2AX, Blackpool, UK",53.82070479999999,-3.0512179
17 Third Avenue,FY4 2EU,E,2021-07-09,House,154.0,Blackpool,"17 Third Avenue, FY4 2EU, Blackpool, UK",53.7897817,-3.0441273
"Flat 4, 98 Burlington Road",FY4 1JR,F,2015-11-01,Flat,22.0,Blackpool,"Flat 4, 98 Burlington Road, FY4 1JR, Blackpool, UK",53.7879242,-3.0530227
"101, Harrowside",FY4 1QN,E,2016-07-12,House,153.0,Blackpool,"101, Harrowside, FY4 1QN, Blackpool, UK",53.7848204,-3.0482778
20 Holbeck Avenue,FY4 4LS,E,2021-12-08,House,87.0,Blackpool,"20 Holbeck Avenue, FY4 4LS, Blackpool, UK",53.79412,-3.0199571
"1a, Gosforth Road",FY2 9UB,E,2016-11-05,House,150.0,Blackpool,"1a, Gosforth Road, FY2 9UB, Blackpool, UK",53.835117,-3.0477379
"Flat 3, 52 Grasmere Road",FY1 5PQ,F,2015-10-06,Flat,39.0,Blackpool,"Flat 3, 52 Grasmere Road, FY1 5PQ, Blackpool, UK",53.8082989,-3.0433584
"Flat, 41-43 Plymouth Road",FY3 7JS,E,2018-06-12,Flat,67.0,Blackpool,"Flat, 41-43 Plymouth Road, FY3 7JS, Blackpool, UK",53.8342229,-3.0281174
"5, Glencross Place",FY4 5AD,E,2016-10-03,Bungalow,99.0,Blackpool,"5, Glencross Place, FY4 5AD, Blackpool, UK",53.7909222,-3.0293307
17 Washington Court,FY2 0XJ,F,2021-09-09,Flat,48.0,Blackpool,"17 Washington Court, FY2 0XJ, Blackpool, UK",53.8423615,-3.0285535
"Flat 3, 55 Bryan Road",FY3 9BG,G,2016-05-12,House,153.0,Blackpool,"Flat 3, 55 Bryan Road, FY3 9BG, Blackpool, UK",53.8179311,-3.0351862
"331, Highfield Road",FY4 3LA,E,2019-06-02,House,76.0,Blackpool,"331, Highfield Road, FY4 3LA, Blackpool, UK",53.7889515,-3.02671
